"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"ERA22FA098","ACC","104462","2021-12-30T21:25:00Z","Bronson","Florida","United States","","N442VB","FALSE","DirectorBrief","2023-10-19T04:00:00Z","Fatal","4","0","0","A loss of control due to spatial disorientation as a result of the noninstrument-rated pilot’s improper decision to attempt a visual flight rules flight at night into an area of known reduced visibility due to fog.","","29.419204","-82.646579","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","PERS","091","Destroyed","IMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=104462","10/19/2023 5:00:00 PM",
"CEN22FA086","ACC","104459","2021-12-30T12:41:00Z","Livingston","Texas","United States","","N8AU","FALSE","DirectorBrief","2024-04-18T04:00:00Z","Fatal","2","0","2","The pilot exceeding the yaw control capability of the helicopter for the flight conditions, resulting in a non-mechanical loss of tail rotor effectiveness.","","30.648176","-94.91511","BELL","206B","HELI","n/a","","FALSE","1","NSCH","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=104459","4/18/2024 5:00:00 PM",
"ERA22FA096","ACC","104453","2021-12-29T15:25:00Z","Cosby","Tennessee","United States","","N544SC","FALSE","DirectorBrief","2023-11-07T05:00:00Z","Fatal","1","1","0","The pilot’s intentional, continued flight into instrument meteorological conditions in a helicopter that was not certified for instrument conditions, which resulted in a loss of helicopter control and a collision with trees and terrain.","","35.773248","-83.279198","ROBINSON HELICOPTER COMPANY","R44 II","HELI","GKT","GATLINBURG-PIGEON FORGE","FALSE","1","","PERS","091","Substantial","IMC","Lyfted LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=104453","11/8/2023 3:00:00 PM",
"CEN22FA073","ACC","104406","2021-12-14T13:36:00Z","LaPlace","Louisiana","United States","","N150AS","FALSE","DirectorBrief","2023-07-06T04:00:00Z","Fatal","1","0","0","The pilot’s failure to maintain clearance from power lines. Contributing to the accident was the pilot’s decision to fly in instrument conditions.","","30.076082","-90.402543","BELL HELICOPTER TEXTRON CANADA","407","HELI","","","FALSE","1","","PERS","091","Destroyed","IMC","RC SMITH AVIATION LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=104406","7/6/2023 5:00:00 PM",
"WPR22FA053","ACC","104342","2021-12-02T12:15:00Z","Lakeport","California","United States","","N425RD","FALSE","DirectorBrief","2023-12-14T05:00:00Z","Fatal","1","0","0","The pilot’s loss of control for reasons that could not be determined and the delayed remedial action to recover from the power pushover event.","","39.027041","-122.90724","RUSSELL W DYER","VORTEX","HELI","1O2","LAMPSON FLD","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=104342","12/14/2023 6:00:00 PM",
"CEN22FA053","ACC","104326","2021-11-28T17:58:00Z","Perry","Oklahoma","United States","","N59600","FALSE","DirectorBrief","2023-06-08T04:00:00Z","Fatal","1","1","0","A loss of lateral control during a hover that resulted in an impact with terrain. Based on the available evidence, the reason for the loss of lateral control could not be determined.","","36.380203","-97.344568","BELL","206","HELI","","","FALSE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=104326","6/8/2023 5:00:00 PM",
"ERA22FA010","ACC","104078","2021-10-10T13:57:00Z","Cornwall","New York","United States","","N637HP","FALSE","DirectorBrief","2023-12-20T05:00:00Z","Fatal","1","0","0","The non-instrument-rated pilot’s continued flight into deteriorating weather conditions, which resulted in a loss of control due to spatial disorientation.","","41.42726","-73.98556","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=104078","12/20/2023 6:00:00 PM",
"WPR22FA001","ACC","104018","2021-10-01T07:40:00Z","Chandler","Arizona","United States","","N412TL, N2868H","FALSE","DirectorBrief","2023-09-29T04:00:00Z","Fatal","2","0","0","The failure of the pilots onboard the airplane to see and avoid the helicopter while maneuvering in the traffic pattern, which resulted in a midair collision.","","33.269096","-111.81112","ROBINSON HELICOPTER COMPANY, PIPER","R22, PA-28-181","HELI,AIR","CHD","CHANDLER MUNI","FALSE,FALSE","1,1","","INST,INST","091,091","Substantial,Minor","VMC","Quantum Helicopters,FLIGHT OPERATIONS ACADEMY LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=104018","9/29/2023 6:00:00 PM",
"ERA21FA362","ACC","103882","2021-09-15T20:46:00Z","Monticello","Georgia","United States","","N888DV","FALSE","DirectorBrief","2023-08-15T04:00:00Z","Fatal","3","0","0","The pilot’s decision to continue the visual flight rules flight into deteriorating weather conditions during a dark night and over unlit terrain, which resulted in spatial disorientation and a subsequent loss of helicopter control.","","33.176346","-83.769253","ROBINSON HELICOPTER CO","R66","HELI","","","FALSE","1","NSCH","","135","Destroyed","IMC","Atlanta Helicopters LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103882","8/15/2023 5:00:00 PM",
"CEN21FA410","ACC","103836","2021-09-10T09:30:00Z","Mentone","Texas","United States","","N292DD","FALSE","DirectorBrief","2022-08-31T04:00:00Z","Fatal","1","0","0","The pilot’s failure to maintain clearance from powerlines while maneuvering at low altitude.","","31.855628","-103.49411","ROBINSON HELICOPTER","R22 BETA","HELI","","","FALSE","1","NSCH","AOBV","091","Substantial","VMC","Concho Aviation LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103836","6/23/2022 7:00:00 PM",
