Document,Question,Answer
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The inform
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,No.
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No.
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The findin
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_WPR22FA053_104342_2_1_2025 8_27_26 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the operational process one of the contributing factors to this accident?,The invest
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,There is n
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The availa
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No.
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is routine violation one of the contributing factors to this accident?,No
Report_ANC21LA020_102702_2_1_2025 8_28_25 PM.pdf,Is exceptional error one of the contributing factors to this accident?,The availa
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Are tool or technology issues contributing factors to this accident?,No.
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the operational process one of the contributing factors to this accident?,The invest
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The inform
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The inform
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,No.
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is routine violation one of the contributing factors to this accident?,There is n
Report_CEN20LA167_101226_2_1_2025 8_29_32 PM.pdf,Is exceptional error one of the contributing factors to this accident?,There is n
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the operational process one of the contributing factors to this accident?,There is n
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, there "
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,No
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,No
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No.
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is routine violation one of the contributing factors to this accident?,There is n
Report_CEN20LA304_101666_2_1_2025 8_29_05 PM.pdf,Is exceptional error one of the contributing factors to this accident?,No
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",There is n
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The findin
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,There is n
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The probab
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN20LA328_101760_2_1_2025 8_28_59 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
